timestamp,rule_name,severity,client_ip,domain,description,mitre_tactics,mitre_techniques,ml_score_A,ml_score_B,ml_combined_score,ml_confidence,enriched_reputation,enriched_dns
2026-03-19T12:45:17.603408,Excessive NXDOMAIN DNS Queries,High,192.168.197.135,N/A,Client 192.168.197.135 generated 8148 NXDOMAIN responses in 15 minutes (threshold: 200),CommandAndControl,"T1568, T1008",,,,,Unknown (API auth failed),
2026-03-19T12:45:17.632346,DNS Tunneling Detection,High,192.168.197.135,designsystem.miram-uat01.lab.local,DNS tunneling detected: designsystem.miram-uat01.lab.local (entropy=4.12>4.0),Exfiltration,"T1572, T1048",0.15849781334400176,0.0,,CLEAN,Unknown (API auth failed),
2026-03-19T12:45:17.632434,DNS Tunneling Detection,High,192.168.197.135,edit-preview.southcentralus.lab.local,DNS tunneling detected: edit-preview.southcentralus.lab.local (entropy=4.07>4.0),Exfiltration,"T1572, T1048",0.12834177613258363,0.0,,CLEAN,Unknown (API auth failed),
2026-03-19T12:45:17.632506,DNS Tunneling Detection,High,192.168.197.135,blitz-stage.wgdompxy.lab.local,DNS tunneling detected: blitz-stage.wgdompxy.lab.local (entropy=4.06>4.0),Exfiltration,"T1572, T1048",0.1476641657948494,0.0,,CLEAN,Unknown (API auth failed),
2026-03-19T12:45:17.632572,DNS Tunneling Detection,High,192.168.197.135,ecostruxure-plant-advisor.lab.local,DNS tunneling detected: ecostruxure-plant-advisor.lab.local (entropy=4.00>4.0),Exfiltration,"T1572, T1048",0.6261034458875656,0.0,,LOW,Unknown (API auth failed),
2026-03-19T12:45:17.632689,DNS Tunneling Detection,High,192.168.197.135,shop-qa1.preview-stg1-www.lab.local,DNS tunneling detected: shop-qa1.preview-stg1-www.lab.local (entropy=4.07>4.0),Exfiltration,"T1572, T1048",0.13920270562171935,0.0,,CLEAN,Unknown (API auth failed),
2026-03-19T12:45:17.632762,DNS Tunneling Detection,High,192.168.197.135,routemeup4.routemeup4-staging.lab.local,DNS tunneling detected: routemeup4.routemeup4-staging.lab.local (entropy=4.01>4.0),Exfiltration,"T1572, T1048",0.5746748390793801,0.0,,LOW,Unknown (API auth failed),
2026-03-19T12:45:17.632822,DNS Tunneling Detection,High,192.168.197.135,routemeup3-staging.lab.local,DNS tunneling detected: routemeup3-staging.lab.local (entropy=4.04>4.0),Exfiltration,"T1572, T1048",0.45293901324272157,0.0,,CLEAN,Unknown (API auth failed),
2026-03-19T12:45:17.632898,DNS Tunneling Detection,High,192.168.197.135,routemeup2.routemeup2-staging.lab.local,DNS tunneling detected: routemeup2.routemeup2-staging.lab.local (entropy=4.01>4.0),Exfiltration,"T1572, T1048",0.5811247247457505,0.0,,LOW,Unknown (API auth failed),
2026-03-19T12:45:17.632997,DNS Tunneling Detection,High,192.168.197.135,sbsondemandctv.sportingindex.lab.local,DNS tunneling detected: sbsondemandctv.sportingindex.lab.local (entropy=4.02>4.0),Exfiltration,"T1572, T1048",0.1466507801413536,0.0,,CLEAN,Unknown (API auth failed),
2026-03-19T12:45:17.633065,DNS Tunneling Detection,High,192.168.197.135,smartadmin-gateway-api.dev1-www.lab.local,DNS tunneling detected: smartadmin-gateway-api.dev1-www.lab.local (entropy=4.09>4.0),Exfiltration,"T1572, T1048",0.6101624226570129,0.0,,LOW,Unknown (API auth failed),
2026-03-19T12:45:17.633125,DNS Tunneling Detection,High,192.168.197.135,secure-oldnavy.skfmediahub.lab.local,DNS tunneling detected: secure-oldnavy.skfmediahub.lab.local (entropy=4.13>4.0),Exfiltration,"T1572, T1048",0.22178086668252944,0.0,,CLEAN,Unknown (API auth failed),
2026-03-19T12:45:17.633211,DNS Tunneling Detection,High,192.168.197.135,ifunds.citiprivatebankinviewqa.lab.local,DNS tunneling detected: ifunds.citiprivatebankinviewqa.lab.local (entropy=4.04>4.0),Exfiltration,"T1572, T1048",0.19592209100723268,0.0,,CLEAN,Unknown (API auth failed),
2026-03-19T12:45:17.633305,DNS Tunneling Detection,High,192.168.197.135,stgpaycomvod-a.wine.lab.local,DNS tunneling detected: stgpaycomvod-a.wine.lab.local (entropy=4.02>4.0),Exfiltration,"T1572, T1048",0.5244448220729827,0.0,,LOW,Unknown (API auth failed),
2026-03-19T12:45:17.633394,DNS Tunneling Detection,High,192.168.197.135,cto-live-community-preprod.lab.local,DNS tunneling detected: cto-live-community-preprod.lab.local (entropy=4.02>4.0),Exfiltration,"T1572, T1048",0.5950248497724533,0.0,,LOW,Unknown (API auth failed),
2026-03-19T12:45:17.633456,DNS Tunneling Detection,High,192.168.197.135,learningplatform.sf-api-token-service.lab.local,DNS tunneling detected: learningplatform.sf-api-token-service.lab.local (entropy=4.07>4.0),Exfiltration,"T1572, T1048",0.36848511576652526,0.0,,CLEAN,Unknown (API auth failed),
2026-03-19T12:45:17.633514,DNS Tunneling Detection,High,192.168.197.135,shelbycounty.desktop-music.lab.local,DNS tunneling detected: shelbycounty.desktop-music.lab.local (entropy=4.09>4.0),Exfiltration,"T1572, T1048",0.12862295150756836,0.0,,CLEAN,Unknown (API auth failed),
2026-03-19T12:45:17.633572,DNS Tunneling Detection,High,192.168.197.135,keys-int.odc-stage-01.lab.local,DNS tunneling detected: keys-int.odc-stage-01.lab.local (entropy=4.02>4.0),Exfiltration,"T1572, T1048",0.18827672511339189,0.0,,CLEAN,Unknown (API auth failed),
